terminal_id,location
T00000,Asia
T00001,Asia
T00002,EU
T00003,EU
T00004,Asia
T00005,Asia
T00006,US
T00007,US
T00008,Asia
T00009,EU
T00010,US
T00011,US
T00012,Asia
T00013,Asia
T00014,Asia
T00015,EU
T00016,US
T00017,EU
T00018,EU
T00019,Asia
T00020,Asia
T00021,EU
T00022,Asia
T00023,US
T00024,US
T00025,EU
T00026,US
T00027,EU
T00028,US
T00029,US
T00030,Asia
T00031,US
T00032,EU
T00033,Asia
T00034,US
T00035,US
T00036,Asia
T00037,US
T00038,US
T00039,US
T00040,Asia
T00041,US
T00042,US
T00043,US
T00044,EU
T00045,EU
T00046,Asia
T00047,US
T00048,EU
T00049,Asia
T00050,Asia
T00051,US
T00052,US
T00053,US
T00054,EU
T00055,Asia
T00056,EU
T00057,US
T00058,EU
T00059,Asia
T00060,EU
T00061,Asia
T00062,EU
T00063,Asia
T00064,Asia
T00065,Asia
T00066,US
T00067,EU
T00068,EU
T00069,US
T00070,US
T00071,EU
T00072,Asia
T00073,Asia
T00074,Asia
T00075,Asia
T00076,EU
T00077,EU
T00078,Asia
T00079,EU
T00080,EU
T00081,US
T00082,US
T00083,US
T00084,US
T00085,US
T00086,EU
T00087,US
T00088,Asia
T00089,US
T00090,US
T00091,EU
T00092,EU
T00093,EU
T00094,EU
T00095,US
T00096,Asia
T00097,US
T00098,EU
T00099,EU
T00100,EU
T00101,Asia
T00102,US
T00103,US
T00104,EU
T00105,EU
T00106,EU
T00107,US
T00108,US
T00109,US
T00110,EU
T00111,US
T00112,US
T00113,Asia
T00114,EU
T00115,EU
T00116,US
T00117,EU
T00118,US
T00119,Asia
T00120,EU
T00121,EU
T00122,Asia
T00123,EU
T00124,EU
T00125,US
T00126,US
T00127,US
T00128,US
T00129,EU
T00130,EU
T00131,Asia
T00132,EU
T00133,US
T00134,Asia
T00135,EU
T00136,Asia
T00137,EU
T00138,Asia
T00139,EU
T00140,EU
T00141,EU
T00142,EU
T00143,US
T00144,Asia
T00145,EU
T00146,US
T00147,US
T00148,Asia
T00149,EU
T00150,EU
T00151,Asia
T00152,EU
T00153,Asia
T00154,Asia
T00155,US
T00156,EU
T00157,US
T00158,EU
T00159,US
T00160,US
T00161,Asia
T00162,Asia
T00163,Asia
T00164,US
T00165,Asia
T00166,US
T00167,EU
T00168,US
T00169,EU
T00170,EU
T00171,US
T00172,Asia
T00173,Asia
T00174,EU
T00175,US
T00176,US
T00177,US
T00178,EU
T00179,Asia
T00180,EU
T00181,EU
T00182,EU
T00183,EU
T00184,Asia
T00185,EU
T00186,EU
T00187,EU
T00188,EU
T00189,US
T00190,Asia
T00191,Asia
T00192,Asia
T00193,Asia
T00194,Asia
T00195,Asia
T00196,EU
T00197,US
T00198,EU
T00199,Asia
