terminal_id,location
T00000,EU
T00001,US
T00002,EU
T00003,EU
T00004,US
T00005,Asia
T00006,EU
T00007,US
T00008,US
T00009,Asia
T00010,EU
T00011,EU
T00012,US
T00013,EU
T00014,Asia
T00015,US
T00016,US
T00017,Asia
T00018,US
T00019,Asia
T00020,EU
T00021,Asia
T00022,US
T00023,EU
T00024,Asia
T00025,EU
T00026,Asia
T00027,US
T00028,US
T00029,US
T00030,EU
T00031,Asia
T00032,EU
T00033,EU
T00034,US
T00035,EU
T00036,US
T00037,US
T00038,US
T00039,US
T00040,EU
T00041,Asia
T00042,Asia
T00043,EU
T00044,EU
T00045,EU
T00046,EU
T00047,Asia
T00048,US
T00049,EU
T00050,EU
T00051,Asia
T00052,Asia
T00053,EU
T00054,Asia
T00055,EU
T00056,EU
T00057,US
T00058,Asia
T00059,Asia
T00060,Asia
T00061,Asia
T00062,Asia
T00063,EU
T00064,US
T00065,EU
T00066,EU
T00067,EU
T00068,EU
T00069,Asia
T00070,Asia
T00071,US
T00072,EU
T00073,Asia
T00074,EU
T00075,Asia
T00076,EU
T00077,EU
T00078,US
T00079,EU
T00080,Asia
T00081,EU
T00082,Asia
T00083,EU
T00084,Asia
T00085,Asia
T00086,Asia
T00087,EU
T00088,US
T00089,US
T00090,Asia
T00091,Asia
T00092,EU
T00093,EU
T00094,Asia
T00095,US
T00096,US
T00097,Asia
T00098,US
T00099,EU
T00100,US
T00101,EU
T00102,Asia
T00103,EU
T00104,Asia
T00105,EU
T00106,EU
T00107,EU
T00108,EU
T00109,US
T00110,US
T00111,US
T00112,EU
T00113,EU
T00114,Asia
T00115,US
T00116,Asia
T00117,EU
T00118,EU
T00119,EU
T00120,EU
T00121,EU
T00122,Asia
T00123,US
T00124,EU
T00125,US
T00126,Asia
T00127,EU
T00128,Asia
T00129,EU
T00130,Asia
T00131,US
T00132,Asia
T00133,Asia
T00134,EU
T00135,EU
T00136,Asia
T00137,Asia
T00138,US
T00139,US
T00140,Asia
T00141,Asia
T00142,Asia
T00143,Asia
T00144,EU
T00145,EU
T00146,US
T00147,US
T00148,EU
T00149,Asia
T00150,US
T00151,EU
T00152,US
T00153,Asia
T00154,US
T00155,US
T00156,US
T00157,Asia
T00158,Asia
T00159,EU
T00160,EU
T00161,Asia
T00162,EU
T00163,EU
T00164,US
T00165,EU
T00166,Asia
T00167,Asia
T00168,EU
T00169,EU
T00170,Asia
T00171,US
T00172,Asia
T00173,Asia
T00174,US
T00175,EU
T00176,US
T00177,Asia
T00178,Asia
T00179,EU
T00180,EU
T00181,EU
T00182,US
T00183,US
T00184,US
T00185,Asia
T00186,US
T00187,Asia
T00188,Asia
T00189,Asia
T00190,US
T00191,Asia
T00192,Asia
T00193,EU
T00194,EU
T00195,EU
T00196,Asia
T00197,EU
T00198,Asia
T00199,US
